Census Tract,Year,House Total,Under 50K,50K-100K,100K-250K,250K-500K,500K-1M,1M-1.5M,1.5M-2M,2M+
"Census Tract 43, Multnomah County, Oregon",2020,401,5,0,14,174,191,17,0,0
"Census Tract 45, Multnomah County, Oregon",2020,623,0,0,0,99,397,120,0,7
"Census Tract 46.01, Multnomah County, Oregon",2020,1302,8,0,0,210,597,304,147,36
"Census Tract 46.02, Multnomah County, Oregon",2020,651,0,0,27,49,231,230,44,70
"Census Tract 47, Multnomah County, Oregon",2020,584,0,0,0,161,278,74,55,16
"Census Tract 48, Multnomah County, Oregon",2020,305,0,0,0,212,57,0,17,19
"Census Tract 49.01, Multnomah County, Oregon",2020,261,0,0,0,99,83,56,23,0
"Census Tract 49.02, Multnomah County, Oregon",2020,110,0,0,0,53,57,0,0,0
"Census Tract 50.01, Multnomah County, Oregon",2020,534,0,0,0,349,144,34,7,0
"Census Tract 50.02, Multnomah County, Oregon",2020,123,16,0,62,0,45,0,0,0
"Census Tract 51.01, Multnomah County, Oregon",2020,755,0,0,0,266,349,116,0,24
"Census Tract 51.02, Multnomah County, Oregon",2020,758,0,16,0,232,339,48,33,90
"Census Tract 51.03, Multnomah County, Oregon",2020,316,0,0,0,258,58,0,0,0
"Census Tract 52.01, Multnomah County, Oregon",2020,64,0,0,47,17,0,0,0,0
"Census Tract 52.02, Multnomah County, Oregon",2020,441,0,0,46,287,73,21,0,14
"Census Tract 55, Multnomah County, Oregon",2020,309,12,0,46,107,128,0,16,0
"Census Tract 56.01, Multnomah County, Oregon",2020,278,0,0,27,144,107,0,0,0
"Census Tract 56.02, Multnomah County, Oregon",2020,34,0,0,34,0,0,0,0,0
"Census Tract 57.01, Multnomah County, Oregon",2020,62,0,0,0,0,62,0,0,0
"Census Tract 57.02, Multnomah County, Oregon",2020,590,16,0,68,360,98,48,0,0
"Census Tract 58, Multnomah County, Oregon",2020,1295,0,15,74,108,836,169,51,42
"Census Tract 59.01, Multnomah County, Oregon",2020,337,0,0,37,179,121,0,0,0
"Census Tract 59.02, Multnomah County, Oregon",2020,735,0,0,27,120,534,43,11,0
"Census Tract 59.03, Multnomah County, Oregon",2020,1014,0,0,16,510,460,14,0,14
"Census Tract 60.01, Multnomah County, Oregon",2020,398,0,0,18,96,225,43,16,0
"Census Tract 60.02, Multnomah County, Oregon",2020,754,6,0,17,124,607,0,0,0
"Census Tract 61, Multnomah County, Oregon",2020,873,9,0,15,142,672,27,0,8
